Query,Class Code,Course Title,Course Description,Relevance,Ranking (position)
botany,ANAR 166,Introduction to Environmental Archaeology—Theory and Method of Socioecodynamics and Human Paleoecology,"(Cross-listed with SIO 166.) Introduction to the multidisciplinary tools for paleoenvironmental analysis—from ecology, sedimentology, climatology, zoology, botany, chemistry, and others—and provides the theory and method to investigate the dynamics between human behavior and natural processes. This socioecodynamic perspective facilitates a nuanced understanding of topics such as resource overexploitation, impacts on biodiversity, social vulnerability, sustainability, and responses to climate change. Students may not receive credit for ANAR 166 and SIO 166.",1,2
botany,NO RESULTS,NO RESULTS,NO RESULTS,0,3
botany,NO RESULTS,NO RESULTS,NO RESULTS,0,4
botany,NO RESULTS,NO RESULTS,NO RESULTS,0,5
brain,BILD 38,"Dementia, Science, and Society","Introduction to basic human neuroscience leading to a discussion of brain diseases classified under the rubric Dementia. Topics include basic brain structure and function, diseases of the aging brain and their economic, social, political and ethical impacts on society.",1,1
brain,VIS 32,"Art, Design, and the Brain","Neuroscience is a fast-growing biology field, with projects such as the White House BRAIN Initiative and the Allen Brain Atlas and new areas such as neuroeconomics, neurophilosophy, and neuroaesthetics. This lecture course considers interactions between neuroscience and art, primarily focusing on studies of how art is represented in the brain. By considering perception, emotion, memory, and creativity, we approach scientific understandings of art and design.",1,2
brain,COGS 116,Developmental Cognitive Neuroscience,"This course will discuss the relationship between brain and cognitive development. Topics will include methods for studying the developing brain, how these methods have informed our understanding of cognitive development, the effects of environmental factors, and disorders of brain development.",1,3
brain,PSYC 169,Brain Damage and Mental Function,"This course provides an introduction to the neural mechanisms underlying perception, memory, language, and other mental capacities. Topics include how brain damage affects these capacities and how patients with brain lesions can contribute to our understanding of the normal brain.",1,4
brain,PHIL 25,"Science, Philosophy, and the Big Questions",An inquiry into fundamental questions at the intersection of science and philosophy. Topics can include Einstein’s universe; scientific revolutions; the mind and the brain.,1,5
building vehicles,ECE 148,Introduction to Autonomous Vehicles,"This course introduces students to the fundamentals of autonomous vehicles using an accelerated and engaging engineering curriculum leveraging the educational benefits of robotics “coopertition” (cooperative competition). Students work in small teams building scale cars utilizing best engineering practices. Skills to be learned include fast prototyping, project management, traditional programming, and computer vision using Robot Operating System (ROS) and artificial intelligence deep learning. Cross-listed with MAE 148. Students may not receive credit for ECE 148 and MAE 148. Program or materials fees may apply.",1,1
building vehicles,CSE 42,Building and Programming Electronic Devices,"This course allows students to use what they learned in introductory programming courses to make things happen in the real world. Working in teams, students will first learn to program Arduino-based devices. Teams of students will design a custom device and program it to do their bidding. This course is targeted to first-year students and sophomores in engineering and science disciplines who want to practice applying what they have learned in a programming class and to have the chance to program things other than computers. Program or materials fees may apply.",1,2
