Query,Class Code,Class Title,Class Description
bioinformatics,BGGN 213,Foundations of Bioinformatics,"This course provides a hands-on introduction to the computer-based analysis of genomic and biomolecular data. Major topics include sequencing technologies, genome informatics, structural bioinformatics, and transcriptomics. Students completing this course will be able to evaluate new genomic and biomolecular information using existing software and will have experience in combining bioinformatic approaches to answer biological questions. Enrollment restricted to the following major codes: BI77, BI78, and BS75. Course limited to PhD level students."
bioinformatics,BIMM 143,Bioinformatics Laboratory,"Bioinformatics is the analysis of big data in the biosciences. This course provides a hands-on introduction to the computer-based analysis of biomolecular and genomic data. Major topic areas include advances in sequencing technologies, genome resequencing and variation analysis, transcriptomics, structural bioinformatics, and personal genomics. This course will utilize free, web-based bioinformatics tools and no programming skills are required. Students may receive credit for one of the following: BIMM 143 or BIMM 143R."
bioinformatics,BIMM 143R,Bioinformatics Laboratory,"Bioinformatics is the analysis of big data in the biosciences. This course provides a hands-on introduction to the computer-based analysis of biomolecular and genomic data. Major topic areas include advances in sequencing technologies, genome resequencing and variation analysis, transcriptomics, structural bioinformatics, and personal genomics. This course will utilize free, web-based bioinformatics tools and no programming skills are required. This course is a distance education course. Students may receive credit for one of the following: BIMM 143 or BIMM 143R."
bioinformatics,BENG 126A,Design Development in Bioinformatics Bioengineering,Development of design project in bioinformatics bioengineering.
biology,BIMM 134,Biology of Cancer,"This course explores the molecular and cellular pathways that become dysregulated during carcinogenesis. We will synthesize principles from genetics and molecular, cellular, and developmental biology to investigate how normal cells evolve into tumors. We will examine how tissues distinct from the tumor itself can participate in both facilitating and fighting tumor growth and explore historical and current approaches employed to inhibit tumorigenesis."
biology,SIO 188,Biology of Fishes,"The comparative evolution, morphology, physiology, and ecology of fishes. Special emphasis on local, deep-sea, and pelagic forms in laboratory."
biology,SIOB 294,Biology of Fishes,"The comparative evolution, morphology, physiology, and ecology of fishes. Special emphasis on local, deep-sea, and pelagic forms in laboratory."
biology,SIOB 290,Marine Biology,"An introduction to the field of marine biology, especially to the diversity of marine organisms at all taxonomic levels and their adaptations to the marine environment."
biology,ESYS 101,Environmental Biology,"This course surveys biochemical and physiological processes governing the relationship between organisms and their environments, such as those involved in element cycling and cellular homeostasis. The course introduces biological perspectives on human activities ranging from antibiotic use to genetic engineering."
bird,SIO 1,The Planets,Space exploration has revealed an astonishing diversity among the planets and moons in our solar system. The planets and their histories will be compared to gain insight and a new perspective on planet Earth.
