Code,Department,Title,Units,Description,Prerequisites,Level,URL
ANAR 135S,ANAR,Ancient Mediterranean Civilization,8,"Study Abroad program that examines the origins and history of ancient Mediterranean civilizations from the late Neolithic period through the Classical era. During the course, students will visit some of the most important archaeological sites in the world, from the ancient megalithic temples of Malta, to Phoenician colonies of the early Iron Age, to the Carthaginian and Greek cities of Sicily, and ending with Roman Pompeii and Herculaneum, destroyed by the eruption of Vesuvius in AD 79. Students are required to apply for this Study Abroad course. Program or materials fees may apply.",upper-division standing. Department approval required. Students cannot receive credit for ANAR 135S and ANAR 135.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+135S
ANAR 138,ANAR,Mesopotamia: The Emergence of Civilization,4,This course explores in detail the rise of the world’s earliest cities and states in Mesopotamia and the ancient Near East during the fourth millennium B.C.,upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+138
ANAR 141,ANAR,Prehistory of the Holy Land,4,Israel is a land-bridge between Africa and Asia. Course highlights the prehistory of the Levant and its interconnections from the Paleolithic to the rise of the earliest cities in anthropological perspective.,upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+141
ANAR 142,ANAR,The Rise and Fall of Ancient Israel,4,"The emergence and consolidation of the state in ancient Israel is explored by using archaeological data, biblical texts, and anthropological theories. The social and economic processes responsible for the rise and collapse of ancient Israel are investigated. Recommended preparation: ANTH 3.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+142
ANAR 143,ANAR,Biblical Archaeology—Fact or Fiction,4,"The relationship between archaeological data, historical research, the Hebrew Bible, and anthropological theory are explored along with new methods and current debates in Levantine archaeology.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+143
ANAR 144,ANAR,"Pharaohs, Mummies, and Pyramids: Introduction to Egyptology",4,"An introductory survey of the archaeology, history, art, and architecture of ancient Egypt that focuses on the men and women who shaped Western civilization.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+144
ANAR 145S,ANAR,Study Abroad: Egypt of the Pharaohs,4,"Introduction to the archaeology, history, art, architecture, and hieroglyphs of ancient Egypt. Taught in the field through visits to important temples, pyramids, palaces, and museums in Egypt. Complementary to ANAR 144. Course/program fees may apply.",consent of instructor only.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+145S
ANAR 146,ANAR,Feeding the World,4,"What should we eat and how should we farm to guide a sustainable future? This course will examine what humans evolved to eat and how we began to first cultivate the foods we rely on today. After a survey of traditional farming methods around the world, we will examine how farming systems have changed since the Green Revolution and its successes and failures. The final part of class will focus on the last twenty years, when humans began to modify plant life at the genetic level. Students may not receive credit for ANAR 146 and SIO 146.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+146
ANAR 153,ANAR,The Mysterious Maya,4,"The archaeology, anthropology, and history of the Maya civilization, which thrived in Mexico and Central America from 1000 BC, until the Spanish conquest.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+153
ANAR 154,ANAR,The Aztecs and their Ancestors,4,"Introduction to the archaeology of the ancient culture of Mexico from the early Olmec culture through the Postclassic Aztec, Tarascan, Zapotec, and Mixtec states. Agriculture; trade and exchange; political and social organization; kinship networks; religious system, ideology, and worldviews.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+154
ANAR 155,ANAR,Study Abroad: Ancient Mesoamerica,4,This course is an introduction to the archaeology of Mesoamerica and will provide students with the opportunity to gain practical skills from the field. Students will learn hands on by visiting significant ancient cities and museums in Mexico and Central America. Students may receive a combined total of twelve units for ANAR 155 and ANAR 155S. Program or materials fees may apply.,students must apply to study abroad program and obtain consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+155
ANAR 155S,ANAR,Study Abroad: Ancient Mesoamerica,4,"Introduction to archaeology of Mesoamerica, taught through visits to important ancient cities and museums of Mexico and Central America. Complementary to ANAR 154. Itinerary and subject will vary, so course may be taken more than once. Students may receive a combined total of twelve units for ANAR 155S and ANAR 155. Program or materials fees may apply.",students must apply and be accepted to the study abroad program to be given permission to enroll.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+155S
ANAR 156,ANAR,The Archaeology of South America,4,This course will examine archaeological evidence for the development of societies in the South American continent. From the initial arrival of populations through to the Inca period and the arrival of the Spaniards.,upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+156
ANAR 157,ANAR,Early Empires of the Andes: The Middle Horizon,4,"The civilizations of Wari and Tiwanaku built the first empires of Andean South America long before the Inca. Middle Horizon (AD 500–1000) mythohistory, urbanism, state origins, art, technology, agriculture, colonization, trade, and conquest are explored using ethnohistory and archaeological sources. Students may not receive credit for both ANAR 157S and ANAR 157.",upper-division standing or consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+157
